time,x,y,z
0 days 00:00:00,7.582496474717194,1.2976574,-0.074220255
0 days 00:00:00.010000,7.211395207717194,0.4141969,0.866701
0 days 00:00:00.020000,6.646363594717194,-0.06703765,1.3670892
0 days 00:00:00.030000,6.119639234717194,-0.033518825,2.0087352
0 days 00:00:00.040000,6.150763834717194,0.0,3.0214825
0 days 00:00:00.050000,6.308781184717194,-0.6799533,2.873042
0 days 00:00:00.060000,5.937679909717193,-0.876277825,3.31058235
0 days 00:00:00.070000,5.566578634717194,-1.07260235,3.7481227
0 days 00:00:00.080000,4.939297934717194,-2.2409728,5.1786585
0 days 00:00:00.090000,4.917749834717194,-3.095703,6.7133417
0 days 00:00:00.100000,4.441303934717194,-3.7349546,7.85777
0 days 00:00:00.110000,4.632839934717194,-3.3255463,7.6973586
0 days 00:00:00.120000,4.388631434717194,-2.8898015,6.6391215
0 days 00:00:00.130000,3.5626318347171937,-1.9656396,5.9663506
0 days 00:00:00.140000,2.5259424347171935,-3.217807,6.907272
0 days 00:00:00.150000,2.3200411347171936,-5.149928,7.908048
0 days 00:00:00.160000,2.384684659717194,-5.840655,8.35636225
0 days 00:00:00.170000,2.449328184717194,-6.531382,8.8046765
0 days 00:00:00.180000,2.446933734717194,-5.6431336,10.237606
0 days 00:00:00.190000,2.5474901347171937,-4.4101195,9.61272
0 days 00:00:00.200000,1.4724934347171938,-4.1036615,8.185776
0 days 00:00:00.210000,0.6656479347171942,-4.4843397,7.5106106
0 days 00:00:00.220000,0.30172913471719376,-6.7372837,8.094796
0 days 00:00:00.230000,1.1804014347171936,-7.819463,9.464279
0 days 00:00:00.240000,1.9561224347171935,-7.843405,9.835381
0 days 00:00:00.250000,1.5802324347171943,-6.325481,10.007763
0 days 00:00:00.260000,1.2677893597171943,-5.91547395,9.706093500000001
0 days 00:00:00.270000,0.9553462847171934,-5.5054669,9.404424
0 days 00:00:00.280000,0.27299875971719345,-6.4350157,8.934562
0 days 00:00:00.290000,-0.4093487652828065,-7.3645645,8.4647
0 days 00:00:00.300000,0.8069057347171942,-7.893683,9.404425
0 days 00:00:00.310000,0.7614159347171938,-7.7308774,9.054871
0 days 00:00:00.320000,1.1253347347171943,-7.0820484,8.477868
0 days 00:00:00.330000,1.515589434717194,-6.0621185,7.979874
0 days 00:00:00.340000,0.3184884347171941,-5.544971,7.824251
0 days 00:00:00.350000,-1.067753565282806,-6.9958572,7.4866686
0 days 00:00:00.360000,-0.7666830652828063,-7.595604874999999,7.7224977
0 days 00:00:00.370000,-0.4656125652828065,-8.195352549999999,7.9583268
0 days 00:00:00.380000,0.2945464347171942,-8.990228,8.468291
0 days 00:00:00.390000,0.3172914347171938,-8.281544,7.912836500000001
0 days 00:00:00.400000,0.34003643471719425,-7.57286,7.357382
0 days 00:00:00.410000,0.6680421347171936,-6.1387334,6.8569937
0 days 00:00:00.420000,0.3520074347171942,-5.877765,6.2584434
0 days 00:00:00.430000,-0.22738956528280596,-6.4858923,6.0357823
0 days 00:00:00.440000,-1.0031105652828058,-7.03177,6.265626
0 days 00:00:00.450000,-0.7708735652828063,-8.185776,7.03177
0 days 00:00:00.460000,-0.5314531652828061,-8.880095,7.3645644
0 days 00:00:00.470000,-0.2465429652828064,-8.324639,6.88333
0 days 00:00:00.480000,5.9434717194051245e-05,-7.2209125,6.495469
0 days 00:00:00.490000,-0.0669779652828062,-6.600814,5.837064
0 days 00:00:00.500000,0.10301013471719411,-6.2967505,5.9280434
