time,x,y,z
0 days 00:00:00,2.3552899712992286,3.5936968,-0.8619126
0 days 00:00:00.010000,2.3241659712992284,3.6415808,-0.8738836
0 days 00:00:00.020000,2.486971971299228,3.5290532,-0.8283938
0 days 00:00:00.030000,2.6425939712992275,4.185065,-0.6799533
0 days 00:00:00.040000,2.5276729712992285,3.845088,-0.80205756
0 days 00:00:00.050000,2.6330169712992273,3.5051112,-1.0366893
0 days 00:00:00.060000,2.8844089712992282,3.7541082,-0.6584055
0 days 00:00:00.070000,2.7216029712992285,4.0222588,-0.8355764
0 days 00:00:00.080000,2.8341309712992278,3.727772,-1.0271125
0 days 00:00:00.090000,2.925110526854784,3.6852084111111107,-1.0765926555555556
0 days 00:00:00.100000,3.0160900824103383,3.642644822222222,-1.1260728111111111
0 days 00:00:00.110000,3.1070696379658944,3.600081233333333,-1.1755529666666666
0 days 00:00:00.120000,2.8054009712992283,4.060566,-0.78290397
0 days 00:00:00.130000,2.958628971299227,3.691859,-1.0414777
0 days 00:00:00.140000,3.2004439712992276,3.6822822,-1.4293385
0 days 00:00:00.150000,3.3584609712992286,3.1052797,-1.697489
0 days 00:00:00.160000,3.310576971299227,3.1124623,-1.70946
0 days 00:00:00.170000,3.3967679712992283,3.0430303,-1.7645266
0 days 00:00:00.180000,3.516477971299228,2.693477,-1.8100165
0 days 00:00:00.190000,3.0759449712992275,3.4165258,-1.2521675
0 days 00:00:00.200000,2.7814589712992284,2.5809495,-1.436521
0 days 00:00:00.210000,2.9059569712992275,3.157952,-1.5370775
0 days 00:00:00.220000,2.7766699712992278,2.870648,-1.3431472
0 days 00:00:00.230000,2.9574322212992286,2.66833785,-1.6573861499999998
0 days 00:00:00.240000,3.1381944712992276,2.4660276999999997,-1.9716250999999998
0 days 00:00:00.250000,3.2698749712992274,2.72939,-1.5131354
0 days 00:00:00.260000,3.059185971299227,2.9592333,-0.91697925
0 days 00:00:00.270000,2.786246971299228,3.8067808,-1.0103531
0 days 00:00:00.280000,3.078338971299228,2.669535,-1.5825673
0 days 00:00:00.290000,3.2028379712992283,3.5410242,-1.0247183
0 days 00:00:00.300000,3.0065129712992285,3.6104562,-0.46447513
0 days 00:00:00.310000,2.8939859712992284,3.2249897,-1.436521
0 days 00:00:00.320000,3.107069971299227,2.5905263,-1.9608512
0 days 00:00:00.330000,3.0113019712992273,2.4301147,-1.5753847
0 days 00:00:00.340000,2.752727971299228,2.5450363,-1.5035586
0 days 00:00:00.350000,2.123051971299228,2.8898015,-0.49320555
0 days 00:00:00.360000,1.787864471299228,3.430891,-1.1899183
0 days 00:00:00.370000,1.682519971299227,3.0095115,-0.60812724
0 days 00:00:00.380000,1.1845259712992284,3.2082303,-1.4221559
0 days 00:00:00.390000,1.246774971299228,1.9560628,-1.9752164
0 days 00:00:00.400000,0.9570769712992284,1.9177556,-2.0685902
0 days 00:00:00.410000,0.7176569712992276,2.195483,-2.183512
0 days 00:00:00.420000,0.5261199712992273,2.4540567,-2.1667526
0 days 00:00:00.430000,0.18853697129922686,2.9281087,-1.661576
0 days 00:00:00.440000,-0.20650502870077148,3.4979286,0.12210429
0 days 00:00:00.450000,-0.5536640287007728,4.771644,1.0127473
0 days 00:00:00.460000,-0.7499892287007723,4.6662993,0.1388637
0 days 00:00:00.470000,-0.5177520287007731,2.4468741,-2.0159178
0 days 00:00:00.480000,-0.13467902870077175,0.7110779,-2.8754363
0 days 00:00:00.490000,-0.9511020287007721,0.41180268,-2.8323407
0 days 00:00:00.500000,-2.0308873287007723,1.8722657,-2.6240451
0 days 00:00:00.510000,-1.1713690287007719,2.9281087,-2.5210943
0 days 00:00:00.520000,-0.10834302870077295,2.0614076,0.24420857
0 days 00:00:00.530000,-0.45071402870077293,0.92895025,1.6807296
0 days 00:00:00.540000,-1.111514028700772,0.7278373,-0.011971008
0 days 00:00:00.550000,-0.8792760287007724,1.8483237,-2.2050598
0 days 00:00:00.560000,-0.9774380287007727,4.0438066,-2.1547816
0 days 00:00:00.570000,-0.931948428700772,3.5410242,-1.2186487
0 days 00:00:00.580000,-0.5943660287007724,3.1962593,-1.6424223
0 days 00:00:00.590000,-0.4028300287007731,1.9967642,-1.2665327
0 days 00:00:00.600000,-0.599155028700773,0.8619126,-1.3838485
0 days 00:00:00.610000,-0.36212802870077176,0.4285621,-1.5801731
0 days 00:00:00.620000,-0.6709807287007719,0.82360536,-0.9696517
0 days 00:00:00.630000,-1.2815020287007721,1.745373,0.47405192
0 days 00:00:00.640000,-1.463461028700772,2.5498247,-0.6392518
