time,x,y,z
0 days 00:00:00,3.4286894172901725,3.9959226,-0.8714894
0 days 00:00:00.010000,3.0743484172901727,4.4005427,-0.9911995
0 days 00:00:00.020000,3.253913417290173,4.003105,-0.545878
0 days 00:00:00.030000,3.4526314172901724,3.53863,-0.6344634
0 days 00:00:00.040000,3.3281334172901733,4.7979803,-2.006341
0 days 00:00:00.050000,3.3712284172901725,5.4324436,-2.2026656
0 days 00:00:00.060000,3.8189444172901723,3.8498764,-1.0366893
0 days 00:00:00.070000,3.6752926672901722,3.9713820249999996,-1.0528501749999999
0 days 00:00:00.080000,3.531640917290172,4.09288765,-1.0690110499999999
0 days 00:00:00.090000,2.818168417290174,2.8778305,-1.448492
0 days 00:00:00.100000,2.918724417290173,5.1379566,-1.079785
0 days 00:00:00.110000,3.1222324172901725,4.2066126,-1.7022774
0 days 00:00:00.120000,3.050406417290173,3.5745432,-2.0350714
0 days 00:00:00.130000,3.0073104172901726,4.3358994,-1.3694834
0 days 00:00:00.140000,2.8899944172901737,4.6399627,-0.94331545
0 days 00:00:00.150000,2.7559194172901726,4.43885,-1.127669
0 days 00:00:00.160000,2.3728474172901723,4.309563,-0.89543146
0 days 00:00:00.170000,2.1884936672901727,4.182071775,-1.0199299549999998
0 days 00:00:00.180000,2.004139917290173,4.05458055,-1.14442845
0 days 00:00:00.190000,2.1741284172901736,3.6583402,-1.3455414
0 days 00:00:00.200000,2.387212417290174,3.6487634,-2.1260512
0 days 00:00:00.210000,2.305809417290174,3.2609026,-1.1779473
0 days 00:00:00.220000,2.269896417290173,3.9839516,-1.0582372
0 days 00:00:00.230000,2.2794724172901724,3.5865142,-1.5514427
0 days 00:00:00.240000,2.121455417290173,5.4061074,-1.1851299
0 days 00:00:00.250000,1.6043074172901726,3.6008794,-1.2856863
0 days 00:00:00.260000,1.2379954172901737,0.35194764,-1.6567876
0 days 00:00:00.270000,1.452275917290173,0.95289232,-1.8507179
0 days 00:00:00.280000,1.666556417290174,1.553837,-2.0446482
0 days 00:00:00.290000,2.016110917290174,4.416105,-2.20266555
0 days 00:00:00.300000,1.543854667290173,3.33632005,-1.6663644
0 days 00:00:00.310000,1.0715984172901738,2.2565351,-1.13006325
0 days 00:00:00.320000,0.9578734172901733,2.5115175,-1.6927006
0 days 00:00:00.330000,1.0368824172901725,2.8455087,-1.9333179
0 days 00:00:00.340000,1.1158914172901735,3.1794999,-2.1739352
0 days 00:00:00.350000,1.046458917290174,2.5653871,-2.0159179
0 days 00:00:00.360000,1.1649721672901734,2.90117385,-2.2457612
0 days 00:00:00.370000,1.2834854172901728,3.2369606,-2.4756045
0 days 00:00:00.380000,1.142226417290173,3.4021606,-2.2385786
0 days 00:00:00.390000,0.7256364172901737,2.822764,-1.2354081
0 days 00:00:00.400000,0.47903341729017335,1.5897499,-1.1133038
0 days 00:00:00.410000,0.6298684172901741,2.123657,-2.0518308
0 days 00:00:00.420000,0.9506904172901738,2.6168625,-2.0398598
0 days 00:00:00.430000,0.8381634172901737,3.0909145,-1.9680338
0 days 00:00:00.440000,0.8381634172901737,2.743755,-1.8267759
0 days 00:00:00.450000,0.9459024172901724,2.9161377,-2.099715
0 days 00:00:00.460000,0.8214044172901733,3.41892,-1.3144168
0 days 00:00:00.470000,0.6394444172901732,2.420538,-1.5729905
0 days 00:00:00.480000,0.48621641729017284,1.4772224,-0.18914193
0 days 00:00:00.490000,0.6490214172901734,3.41892,-2.2625206
0 days 00:00:00.500000,0.5005814172901726,1.4149733,-1.1180922
0 days 00:00:00.510000,0.29228541729017365,2.4612393,-1.3838485
0 days 00:00:00.520000,0.5053694172901739,3.095703,-1.1061212
0 days 00:00:00.530000,0.5269174172901732,2.0326772,-0.6871359
0 days 00:00:00.540000,0.024135417290173322,2.1140802,-0.40940848
0 days 00:00:00.550000,0.19651741729017402,2.5258827,-1.7956513
0 days 00:00:00.560000,0.012163417290173228,-0.2873042,-0.15562311
0 days 00:00:00.570000,-0.5600505827098274,0.90979666,0.5650316
0 days 00:00:00.580000,-0.3661195827098265,2.4013844,-0.25139117
0 days 00:00:00.590000,-0.7491921827098267,1.9369092,-0.6512229
0 days 00:00:00.600000,-1.1394471827098265,1.1324574,0.047884032
0 days 00:00:00.610000,-1.2926759827098264,0.18674773,-1.4460979
0 days 00:00:00.620000,-0.651030082709827,2.2026656,-1.328782
0 days 00:00:00.630000,-1.259157182709827,2.6024973,-0.39743748
0 days 00:00:00.640000,-0.9167861827098269,2.0374656,-1.6400281
0 days 00:00:00.650000,-0.3110535827098264,1.0845734,-2.1308396
0 days 00:00:00.660000,-0.47864758270982755,0.7733272,0.51954174
0 days 00:00:00.670000,-1.1729659827098269,0.11252748,-0.7230489
0 days 00:00:00.680000,-0.7180675827098266,2.099715,-0.1340753
0 days 00:00:00.690000,-1.134658582709827,-1.0103531,1.8291701
0 days 00:00:00.700000,-1.534490582709827,2.066196,0.0
0 days 00:00:00.710000,-0.6630010827098269,2.3774424,-1.3215994
0 days 00:00:00.720000,-1.3836555827098271,0.6823475,-2.018312
0 days 00:00:00.730000,-1.4530872827098271,1.340753,-1.0630256
0 days 00:00:00.740000,-1.692507582709827,-1.3215994,-0.090979666
0 days 00:00:00.750000,-1.5273079827098268,-0.05267244,-0.5554548
0 days 00:00:00.760000,-1.8146118827098272,0.94092125,0.18914193
0 days 00:00:00.770000,-2.279087082709827,2.2529438,0.24899697
0 days 00:00:00.780000,-1.8529190827098265,1.2880806,-0.110133275
0 days 00:00:00.790000,-1.7403915827098269,1.1420342,-0.92176765
0 days 00:00:00.800000,-1.8385538827098271,0.23702596,-1.6519991
0 days 00:00:00.810000,-1.7547568827098265,0.062249243,-2.765303
0 days 00:00:00.820000,-1.716449582709827,1.0965444,-2.2266076
0 days 00:00:00.830000,-1.862495882709827,1.2808979,-1.733402
0 days 00:00:00.840000,-1.9127740827098272,0.5506664,-1.1755531
0 days 00:00:00.850000,-1.9510812827098265,0.6703765,-0.21308395
0 days 00:00:00.860000,-1.5967395827098265,0.22026655,0.90979666
0 days 00:00:00.870000,-0.6462415827098269,0.7158663,1.3814543
0 days 00:00:00.880000,-0.45709958270982654,1.3192052,0.6943185
0 days 00:00:00.890000,0.15581541729017268,1.5801731,-2.0446482
0 days 00:00:00.900000,0.7016944172901738,2.1092918,-3.7660792
0 days 00:00:00.910000,0.4143904172901731,1.2689269,-1.6065093
0 days 00:00:00.920000,0.9075954172901728,-0.79008657,-0.770933
0 days 00:00:00.930000,1.6354324172901737,0.5434838,-0.09816227
0 days 00:00:00.940000,1.372070417290173,1.8435353,-0.9983821
0 days 00:00:00.950000,1.2523604172901734,2.3918076,-1.5705963
0 days 00:00:00.960000,1.7958444172901729,0.25617957,-1.0319009
0 days 00:00:00.970000,2.0280814172901724,-1.1061212,-0.45010993
0 days 00:00:00.980000,1.771902417290173,0.9648633,-0.641646
0 days 00:00:00.990000,1.3744644172901737,1.9393034,-0.7015011
0 days 00:00:01,1.166168417290173,1.3575124,-0.94810385
0 days 00:00:01.010000,0.8190104172901727,0.91458505,-1.2449849
0 days 00:00:01.020000,1.0201234172901739,0.49081135,-1.2210429
0 days 00:00:01.030000,1.0009694172901735,-0.272939,-0.7254431
0 days 00:00:01.040000,0.5556474172901726,1.0965444,-0.44532153
0 days 00:00:01.050000,0.5508594172901731,1.0582372,-1.2186487
0 days 00:00:01.060000,0.517340417290173,0.7661445,-1.067814
0 days 00:00:01.070000,0.311439417290174,-0.045489833,-0.7781156
0 days 00:00:01.080000,0.5053694172901739,0.5554548,-1.0055647
0 days 00:00:01.090000,0.7639434172901733,0.90979666,-0.91219085
0 days 00:00:01.100000,0.5915604172901734,1.0989386,-0.7661445
0 days 00:00:01.110000,0.687328417290173,1.9129672,-1.0366893
0 days 00:00:01.120000,1.051247417290174,0.51954174,-0.055066638
0 days 00:00:01.130000,0.7783084172901731,-0.32800564,-0.2873042
0 days 00:00:01.140000,0.9578734172901733,1.0031705,-0.60333884
0 days 00:00:01.150000,1.0991314172901738,1.1755531,-1.0534488
0 days 00:00:01.160000,0.9482974172901724,1.3838485,-1.0534488
0 days 00:00:01.170000,0.9195664172901736,1.0151415,-0.90979666
0 days 00:00:01.180000,0.8525294172901727,1.0055647,-0.6919243
0 days 00:00:01.190000,0.6346564172901736,0.9672575,-0.01436521
0 days 00:00:01.200000,0.44072541729017267,1.1468226,-0.5530606
0 days 00:00:01.210000,0.3377754172901728,1.1611878,-0.7015011
0 days 00:00:01.220000,-0.09796958270982614,0.878672,-0.7685388
0 days 00:00:01.230000,-0.5624445827098263,1.6903064,-1.1444284
0 days 00:00:01.240000,-0.9239685827098265,1.7525556,-2.195483
0 days 00:00:01.250000,-1.0293139827098265,3.1004913,-2.3989902
0 days 00:00:01.260000,-0.6749720827098269,0.9792285,-0.93613285
0 days 00:00:01.270000,-0.8569311827098272,-1.271321,0.18195933
0 days 00:00:01.280000,-1.3932322827098265,-0.110133275,1.1683705
0 days 00:00:01.290000,-1.3333775827098266,2.2577322,0.51954174
0 days 00:00:01.300000,-1.5991339827098265,2.372654,-0.47644615
0 days 00:00:01.310000,-2.353307182709827,2.2266076,-3.157952
0 days 00:00:01.320000,-1.4746350827098267,5.1930237,-5.2720323
0 days 00:00:01.330000,-0.02614358270982642,1.4173675,-2.054225
0 days 00:00:01.340000,-0.5983575827098271,-1.8219875,0.41180268
0 days 00:00:01.350000,-1.2519745827098268,0.40701428,0.94092125
0 days 00:00:01.360000,-1.2759165827098267,1.4772224,0.85473
0 days 00:00:01.370000,-1.8289770827098266,3.2513258,-1.0462662
0 days 00:00:01.380000,-2.482593982709827,4.0533834,-3.9815574
0 days 00:00:01.390000,-1.0843805827098265,1.4891934,-2.516306
0 days 00:00:01.400000,-0.1769775827098261,-1.2090719,-1.1923125
0 days 00:00:01.410000,-0.2081025827098273,2.336741,-1.0295067
0 days 00:00:01.420000,-0.4020335827098265,2.2840683,-0.9768343
0 days 00:00:01.430000,-0.8760845827098267,2.4875755,-0.24181437
0 days 00:00:01.440000,-1.3118295827098265,2.0494366,-0.3878607
0 days 00:00:01.450000,-1.2280325827098268,1.3503298,-2.765303
0 days 00:00:01.460000,-0.21528458270982753,2.4277205,-2.3870192
0 days 00:00:01.470000,-0.1290935827098263,0.80445176,-0.48602295
0 days 00:00:01.480000,-0.4020335827098265,1.2449849,0.33997664
0 days 00:00:01.490000,0.3186224172901735,2.6120741,-1.5658079
0 days 00:00:01.500000,0.4479089172901727,2.2816741,-1.2856863
0 days 00:00:01.510000,-0.38287958270982614,2.6192567,-2.0350714
0 days 00:00:01.520000,-0.08120958270982648,2.8299465,-2.5234885
0 days 00:00:01.530000,0.723242417290173,0.81163436,-1.4173675
0 days 00:00:01.540000,0.8046454172901729,0.866701,-0.47165772
0 days 00:00:01.550000,0.35214091729017305,1.8411411,0.47884035
0 days 00:00:01.560000,-0.03093158270982599,1.745373,0.12689269
0 days 00:00:01.570000,0.32819891729017314,3.8953662,-2.8562827
0 days 00:00:01.580000,0.2779204172901739,0.9552865,-0.6775591
0 days 00:00:01.590000,1.4199544172901728,3.6846764,-2.3558946
0 days 00:00:01.600000,2.102302417290174,2.6120741,-2.1045034
0 days 00:00:01.610000,0.7615494172901727,2.6839,-0.17238252
0 days 00:00:01.620000,0.6897224172901737,3.3327289,-1.1085154
0 days 00:00:01.630000,0.7136654172901729,1.9393034,-0.45010993
0 days 00:00:01.640000,0.47424441729017275,1.5442601,0.40222588
0 days 00:00:01.650000,0.43114941729017353,1.70946,-0.107739076
0 days 00:00:01.660000,0.6131084172901726,3.5314474,-3.6224272
0 days 00:00:01.670000,1.0033634172901724,4.8027687,-3.8881836
0 days 00:00:01.680000,0.9985744172901736,3.3207579,-2.4708161
0 days 00:00:01.690000,0.8309804172901725,-1.757344,-2.1499932
0 days 00:00:01.700000,1.2332074172901724,3.454833,-0.16998832
0 days 00:00:01.710000,1.3098214172901734,5.475539,0.05746084
0 days 00:00:01.720000,0.5293114172901738,2.846706,-0.31364042
0 days 00:00:01.730000,0.0528654172901728,2.5761611,-1.2066777
0 days 00:00:01.740000,0.8118274172901732,1.9800048,-1.9369092
0 days 00:00:01.750000,1.0727954172901732,1.6256629,-3.3877954
0 days 00:00:01.760000,1.4774154172901728,1.1731589,-4.024653
0 days 00:00:01.770000,1.360099417290174,2.0685902,-2.9735985
0 days 00:00:01.780000,1.4247434172901734,3.632004,-1.8866309
0 days 00:00:01.790000,0.902806417290174,4.5633483,-0.81402856
0 days 00:00:01.800000,0.7184530839568399,4.113770477777778,-0.8712233888888888
0 days 00:00:01.810000,0.5340997506235059,3.664192655555556,-0.9284182177777777
0 days 00:00:01.820000,0.34974641729017186,3.2146148333333335,-0.9856130466666665
0 days 00:00:01.830000,0.46227441729017293,2.8299465,-2.834735
0 days 00:00:01.840000,0.7423959172901728,1.5921441,-4.321534
0 days 00:00:01.850000,0.21806541729017326,0.7038953,-2.5354595
0 days 00:00:01.860000,0.4143904172901731,3.0597897,-2.006341
0 days 00:00:01.870000,0.6681754172901737,3.0597897,-2.1739352
0 days 00:00:01.880000,0.4479089172901727,2.2098482,-0.9888053
0 days 00:00:01.890000,-0.14824758270982663,3.4356794,-1.2234371
0 days 00:00:01.900000,0.41678341729017276,2.2050598,-2.8203697
0 days 00:00:01.910000,1.1829284172901726,0.8834604,-3.892972
0 days 00:00:01.920000,0.972239417290174,2.6024973,-2.006341
0 days 00:00:01.930000,1.0392764172901732,3.1172507,-1.6424223
0 days 00:00:01.940000,1.4391084172901731,2.669535,-2.4157495
0 days 00:00:01.950000,0.9985744172901736,2.80361,-1.436521
0 days 00:00:01.960000,0.7759144172901724,2.6791117,-2.3175871
0 days 00:00:01.970000,1.1565919172901733,2.7030537,-1.9393034
0 days 00:00:01.980000,1.3912244172901733,2.6839,-1.6041151
0 days 00:00:01.990000,1.2427844172901725,2.585738,-1.4437037
0 days 00:00:02,0.6562034172901736,3.8067808,-0.92895025
0 days 00:00:02.010000,0.8166154172901727,3.691859,-2.1571758
0 days 00:00:02.020000,1.3624944172901738,4.831499,-3.4476504
