time,x,y,z
0 days 00:00:00,0.053145275,-0.003665190999999998,-0.091018923
0 days 00:00:00.010000,0.10995574,-0.05497787,-0.119729586
0 days 00:00:00.020000,0.08674286175,-0.10231992625,-0.154243473
0 days 00:00:00.030000,0.0635299835,-0.1496619825,-0.18875735999999999
0 days 00:00:00.040000,0.10140363,-0.22968534,-0.19914207
0 days 00:00:00.050000,0.09407325,-0.24923302,-0.25411993
0 days 00:00:00.060000,0.16035213,-0.24556783,-0.2547307975
0 days 00:00:00.070000,0.22663101000000002,-0.24190264,-0.255341665
0 days 00:00:00.080000,0.3848451,-0.26633725,-0.26145032
0 days 00:00:00.090000,0.54000485,-0.2761111,-0.26633725
0 days 00:00:00.100000,0.5925393,-0.30665436,-0.21135938
0 days 00:00:00.110000,0.6243043,-0.34697145,-0.2003638
0 days 00:00:00.120000,0.64873886,-0.41783184,-0.22113322
0 days 00:00:00.130000,0.8527679,-0.47403142,-0.2602286
0 days 00:00:00.140000,1.028697,-0.5180137,-0.30298916
0 days 00:00:00.150000,0.90041536,-0.57910025,-0.3359759
0 days 00:00:00.160000,0.7648033,-0.61941737,-0.34330627
0 days 00:00:00.170000,0.8051204,-0.61208695,-0.34330627
0 days 00:00:00.180000,0.9639453,-0.5876524,-0.3494149
0 days 00:00:00.190000,1.070236,-0.55833083,-0.32375857
0 days 00:00:00.200000,1.1093313,-0.52534413,-0.28099802
0 days 00:00:00.210000,1.0958922,-0.49235737,-0.27000242
0 days 00:00:00.220000,0.9957104,-0.46181414,-0.29932398
0 days 00:00:00.230000,0.75625116,-0.43860126,-0.35430184
0 days 00:00:00.240000,0.48502702,-0.4361578,-0.408058
0 days 00:00:00.250000,0.40561453,-0.4007276,-0.4569272
0 days 00:00:00.260000,0.50335294,-0.3323107,-0.4447099
0 days 00:00:00.270000,0.59864795,-0.24678956,-0.3726278
0 days 00:00:00.280000,0.52412236,-0.15271631,-0.35918877
0 days 00:00:00.290000,0.1160644,-0.10140363,-0.39706242
0 days 00:00:00.300000,-0.37384954,-0.08307768,-0.40194935
0 days 00:00:00.310000,-0.7318166,-0.056199603,-0.34574974
0 days 00:00:00.320000,-1.105666,0.034208454,0.18203785
0 days 00:00:00.330000,-0.45967605,0.075747292,0.065057151925
0 days 00:00:00.340000,0.1863139,0.11728613,-0.05192354615
0 days 00:00:00.350000,0.505185575,0.14813482249999999,0.011911870424999998
0 days 00:00:00.360000,0.8240572500000001,0.17898351499999998,0.075747287
0 days 00:00:00.370000,0.19181168,0.13805555,0.105068825
0 days 00:00:00.380000,-0.04520403,0.12950343,0.15515977
0 days 00:00:00.390000,0.103847094,0.14049901,0.13439035
0 days 00:00:00.400000,0.5216789,0.17715092,0.18448131
0 days 00:00:00.410000,0.54733527,0.1685988,0.24190263
0 days 00:00:00.420000,0.47158796,0.17592919,0.31520647
0 days 00:00:00.430000,0.57787853,0.18936823,0.37751472
0 days 00:00:00.440000,0.591317565,0.193644285,0.40317106
0 days 00:00:00.450000,0.6047566,0.19792034,0.4288274
0 days 00:00:00.460000,0.211970245,0.106901418,0.4007276
0 days 00:00:00.470000,-0.014660766,0.056199603,0.5021312
0 days 00:00:00.480000,-0.03176499,0.034208454,0.43371433
0 days 00:00:00.490000,0.20769419,0.04886922,0.54367006
0 days 00:00:00.500000,0.3323107,0.062308256,0.6230826
0 days 00:00:00.510000,0.46914452,0.07819075,0.6291912
0 days 00:00:00.520000,0.46181414,0.06352998,0.6817256
0 days 00:00:00.530000,0.308181525,0.0394008056,0.6704246
0 days 00:00:00.540000,0.15454891,0.0152716312,0.6591236
0 days 00:00:00.550000,0.2406809,0.04642576,0.72082096
0 days 00:00:00.560000,0.24190263,0.030543262,0.7012733
0 days 00:00:00.570000,0.119729586,0.007330383,0.66339964
0 days 00:00:00.580000,0.09040806,0.021991149,0.72204274
0 days 00:00:00.590000,-0.010995574,0.034208454,0.68294734
0 days 00:00:00.600000,0.058643065,0.059864793,0.6976081
0 days 00:00:00.610000,0.13805555,0.047647487,0.784351
0 days 00:00:00.620000,0.16493362,0.015882496,0.8356637
0 days 00:00:00.630000,0.06627888125,-0.023823743249999998,0.809701925
0 days 00:00:00.640000,-0.032375857499999994,-0.0635299825,0.7837401500000001
0 days 00:00:00.650000,-0.010079276249999998,-0.10598512125,0.7449501875
0 days 00:00:00.660000,0.012217305000000001,-0.14844026,0.706160225
0 days 00:00:00.670000,-0.040317107,-0.12095132,0.7501425
0 days 00:00:00.680000,0.008552114,-0.009773844,0.7476991
0 days 00:00:00.690000,0.1441642,0.10751228,0.7452556
0 days 00:00:00.700000,0.4642576,0.1966986,0.784351
0 days 00:00:00.710000,0.37995818,0.18203785,0.7696902
