time,x,y,z
0 days 00:00:00,2.999329971299227,3.727772,-1.30484
0 days 00:00:00.010000,2.8604669712992283,3.8139634,-1.1755531
0 days 00:00:00.020000,3.0543969712992283,3.5649664,-1.4700398
0 days 00:00:00.030000,3.3273359712992274,2.8921957,-1.8962077
0 days 00:00:00.040000,3.4949299712992286,2.9376855,-2.1380222
0 days 00:00:00.050000,3.578727471299228,3.083732,-2.408567
0 days 00:00:00.060000,3.947433971299228,2.8275523,-2.2098482
0 days 00:00:00.070000,4.033624971299227,3.596091,-1.5849615
0 days 00:00:00.080000,3.708013971299227,3.6272156,-1.271321
0 days 00:00:00.090000,3.6601299712992272,3.1124623,-1.7118542
0 days 00:00:00.100000,3.6002749712992284,3.4524388,-1.4341269
0 days 00:00:00.110000,3.6313999712992278,3.1411927,-1.1061212
0 days 00:00:00.120000,3.6601299712992272,2.5713725,-2.1883004
0 days 00:00:00.130000,3.6936489712992273,1.8866309,-2.3511062
0 days 00:00:00.140000,3.6744954712992275,2.2625206,-1.9177556
0 days 00:00:00.150000,3.7008319712992286,2.4396915,-2.0159178
0 days 00:00:00.160000,3.6816789712992275,2.4013844,-1.2282255
0 days 00:00:00.170000,3.368037971299227,2.846706,-0.85473
0 days 00:00:00.180000,3.528448971299227,1.8124107,-1.4652514
0 days 00:00:00.190000,3.459017971299227,1.8842367,-1.3575124
0 days 00:00:00.200000,3.514083971299227,1.8602947,-1.7980455
0 days 00:00:00.210000,3.4039504712992272,0.8714894,-2.4396915
0 days 00:00:00.220000,3.3967679712992283,1.0151415,-2.753332
0 days 00:00:00.230000,3.4326809712992272,0.9792285,-1.7501614
0 days 00:00:00.240000,3.001724971299227,2.195483,-1.5466543
0 days 00:00:00.250000,3.1214349712992284,1.388637,-1.8579005
0 days 00:00:00.260000,3.2914239712992277,1.5059528,-1.292869
0 days 00:00:00.270000,3.274663971299228,2.231396,-2.2505496
0 days 00:00:00.280000,3.449440971299227,0.90021986,-3.1148565
0 days 00:00:00.290000,3.3009999712992286,1.0151415,-2.8179753
0 days 00:00:00.300000,2.886802971299227,2.1691468,-2.231396
0 days 00:00:00.310000,2.592315971299227,2.2002714,-2.0398598
0 days 00:00:00.320000,2.281070471299227,2.6168625,-1.1061212
0 days 00:00:00.330000,2.5851329712992275,3.241749,-0.47165772
0 days 00:00:00.340000,2.417538971299228,2.8778305,-0.8283938
0 days 00:00:00.350000,2.417538971299228,1.9249382,-2.825158
0 days 00:00:00.360000,2.422327971299227,1.0941502,-2.3774424
0 days 00:00:00.370000,2.158965971299228,1.4030021,-2.1332338
0 days 00:00:00.380000,2.0608029712992284,1.5729905,-2.980781
0 days 00:00:00.390000,1.8070179712992278,1.3096284,-1.7142484
0 days 00:00:00.400000,0.9115869712992275,3.667917,1.2880806
0 days 00:00:00.410000,0.46147697129922705,3.6990416,-0.81163436
0 days 00:00:00.420000,0.734415971299228,0.9744401,-1.1252748
0 days 00:00:00.430000,0.5476679712992283,0.8499416,-1.2282255
0 days 00:00:00.440000,0.791876971299228,0.31124622,-2.8754363
0 days 00:00:00.450000,-0.3525520287007726,1.7956513,-2.3343468
