time,x,y,z
0 days 00:00:00,-0.25106561,0.0183259575,-0.21991148500000002
0 days 00:00:00.010000,-0.07819075,-0.02687807,-0.22479841
0 days 00:00:00.020000,-0.1065959825,-0.072998395,-0.23060163
0 days 00:00:00.030000,-0.135001215,-0.11911872,-0.23640485
0 days 00:00:00.040000,-0.10751228,-0.19547687,-0.21135938
0 days 00:00:00.050000,-0.0720821,-0.23579398,-0.19058995
0 days 00:00:00.060000,0.02687807,-0.25045475,-0.18936823
0 days 00:00:00.070000,0.23457226,-0.24556783,-0.17592919
0 days 00:00:00.080000,0.59498274,-0.23090707,-0.13683382
0 days 00:00:00.090000,0.592233845,-0.2385428875,-0.14416419749999998
0 days 00:00:00.100000,0.58948495,-0.246178705,-0.151494575
0 days 00:00:00.110000,0.29077184,-0.25045475,-0.19792034
0 days 00:00:00.120000,0.06719518,-0.25534168,-0.1966986
0 days 00:00:00.130000,-0.0256563375,-0.251676485,-0.202196395
0 days 00:00:00.140000,-0.118507855,-0.24801129,-0.20769419
0 days 00:00:00.150000,-0.083077672,-0.23701571500000002,-0.21380283500000002
0 days 00:00:00.160000,0.1966986,-0.21502456,-0.21991149
0 days 00:00:00.170000,0.37507126,-0.18936823,-0.24312437
0 days 00:00:00.180000,0.31642820000000005,-0.17592919499999998,-0.261450325
0 days 00:00:00.190000,0.25778514,-0.16249016,-0.27977628
0 days 00:00:00.200000,-0.21746802,-0.17715092,-0.31642818
0 days 00:00:00.210000,-0.530841915,-0.1582141,-0.34025194999999997
0 days 00:00:00.220000,-0.50579643,-0.16493362,-0.27977628
0 days 00:00:00.230000,-0.30298916,-0.21502456,-0.26267207
0 days 00:00:00.240000,-0.07330382999999999,-0.21807889,-0.271835045
0 days 00:00:00.250000,0.1563815,-0.22113322,-0.28099802
0 days 00:00:00.260000,0.31031954,-0.19058995,-0.3005457
0 days 00:00:00.270000,0.06963864,-0.20891592,-0.30176744
0 days 00:00:00.280000,-0.2003638,-0.21380283,-0.312763
0 days 00:00:00.290000,0.19914207,-0.15760323,-0.25900686
0 days 00:00:00.300000,0.33841935,-0.11362094,-0.204029
0 days 00:00:00.310000,0.31398472,-0.09162979,-0.14294247
0 days 00:00:00.320000,0.3323107,-0.073303826,-0.103847094
0 days 00:00:00.330000,0.5852089,-0.058643065,-0.061086524
0 days 00:00:00.340000,0.64751714,-0.065973446,-0.047647487
0 days 00:00:00.350000,0.2919936,-0.09773844,-0.08674286
0 days 00:00:00.360000,0.012217305,-0.09285152,-0.11484267
0 days 00:00:00.370000,-0.10995574,-0.07452556,-0.10262536
0 days 00:00:00.380000,-0.10873401,-0.080634214,-0.07086037
0 days 00:00:00.390000,0.172264,-0.02321288,-0.008552114
0 days 00:00:00.400000,0.46181414,0.03176499,0.12217305
0 days 00:00:00.410000,0.82833326,0.040317107,0.14538592
0 days 00:00:00.420000,0.9101892,0.008552114,0.17837265
0 days 00:00:00.430000,0.2846632,-0.062308256,0.19303341
0 days 00:00:00.440000,-0.6035349,-0.16126843,0.18692477
0 days 00:00:00.450000,-0.8881981,-0.19303341,0.24190263
0 days 00:00:00.460000,-0.8552113,-0.19058995,0.42149702
0 days 00:00:00.470000,-0.44837508,-0.18692477,0.47647488
0 days 00:00:00.480000,0.04886922,-0.14538592,0.44959682
0 days 00:00:00.490000,0.07819075,-0.1441642,0.53023106
0 days 00:00:00.500000,-0.14782938,-0.16615535,0.5155703
0 days 00:00:00.510000,-0.18936823,-0.15760323,0.4801401
0 days 00:00:00.520000,-0.112399206,-0.13072516,0.53023106
0 days 00:00:00.530000,-0.010995574,-0.12461651,0.5681047
0 days 00:00:00.540000,0.12583824,-0.14172074,0.59864795
0 days 00:00:00.550000,0.047647487,-0.16371189,0.63407815
0 days 00:00:00.560000,0.073303826,-0.13927728,0.70371675
0 days 00:00:00.570000,-0.036651913,-0.12095132,0.75625116
0 days 00:00:00.580000,-0.22968534,-0.10262536,0.7635816
0 days 00:00:00.590000,-0.27122417,-0.07696902,0.8063421
0 days 00:00:00.600000,-0.007330383,0.007330383,0.9211848
0 days 00:00:00.610000,0.13683382,0.018325957,1.0323622
0 days 00:00:00.620000,-0.08674286,-0.05375614,0.956615
0 days 00:00:00.630000,-0.1282817,-0.042760566,0.93218035
0 days 00:00:00.640000,-0.39584067,-0.058643065,0.9932669
0 days 00:00:00.650000,-0.49602258,-0.037873644,0.9663888
0 days 00:00:00.660000,-0.36896262,0.05375614,0.9798279
0 days 00:00:00.670000,-0.05375614,0.14905111,1.070236
0 days 00:00:00.680000,0.3005457,0.20891592,1.105666
0 days 00:00:00.690000,0.25900686,0.21380283,1.0934488
0 days 00:00:00.700000,-0.052534413,0.17715092,1.0592403
0 days 00:00:00.710000,-0.18081611,0.1441642,1.0005972
0 days 00:00:00.720000,-0.17348573,0.16982053,1.0519099
0 days 00:00:00.730000,-0.14294247,0.17470746,1.1215485
0 days 00:00:00.740000,-0.29810223,0.16371189,1.0629056
0 days 00:00:00.750000,-0.20891592,0.21013765,1.0396926
0 days 00:00:00.760000,-0.013439035,0.25289822,1.1068878
0 days 00:00:00.770000,-0.112399206,0.25411993,1.0543534
0 days 00:00:00.780000,-0.040317107,0.22724187,0.9786061
0 days 00:00:00.790000,0.13561209,0.2321288,1.0311406
0 days 00:00:00.800000,-0.18325958,0.20158553,0.9969321
0 days 00:00:00.810000,-0.18325958,0.20158553,0.9969321
0 days 00:00:00.820000,-0.3726278,0.19425514,0.9285152
0 days 00:00:00.830000,-0.4654793,0.20280726,0.91996306
0 days 00:00:00.840000,0.061086524,0.29810223,0.9944886
0 days 00:00:00.850000,0.1160644,0.26267207,0.9101892
0 days 00:00:00.860000,-0.15393804,0.18936823,0.7635816
0 days 00:00:00.870000,-0.31520647,0.15515977,0.7501425
0 days 00:00:00.880000,-0.56199604,0.095294975,0.6780604
0 days 00:00:00.890000,-0.33841935,0.096516706,0.56688297
0 days 00:00:00.900000,0.0012217305,0.12950343,0.5143485
0 days 00:00:00.910000,0.04153884,0.13561209,0.4569272
0 days 00:00:00.920000,0.014660766,0.118507855,0.46181414
0 days 00:00:00.930000,-0.24923302,0.047647487,0.3323107
0 days 00:00:00.940000,-0.2846632,0.009773844,0.13805555
0 days 00:00:00.950000,-0.31642818,-0.064751714,-0.004886922
0 days 00:00:00.960000,-0.46792278,-0.13316862,-0.17104226
0 days 00:00:00.970000,-0.3371976,-0.12217305,-0.28588495
0 days 00:00:00.980000,0.16126843,-0.021991149,-0.2125811
0 days 00:00:00.990000,0.24923302,0.018325957,-0.21135938
0 days 00:00:01,0.17715092,0.058643065,-0.2883284
0 days 00:00:01.010000,0.10873401,0.042760566,-0.31642818
0 days 00:00:01.020000,-0.043982297,-0.040317107,-0.36896262
0 days 00:00:01.030000,-0.008552114,-0.087964594,-0.40317106
0 days 00:00:01.040000,0.25900686,-0.058643065,-0.37140608
0 days 00:00:01.050000,0.5119051,0.002443461,-0.3213151
0 days 00:00:01.060000,0.5180137,0.05009095,-0.21991149
0 days 00:00:01.070000,0.15515977,0.05497787,-0.22724187
0 days 00:00:01.080000,-0.043982297,0.037873644,-0.2321288
0 days 00:00:01.090000,-0.12583824,0.0036651916,-0.23579398
0 days 00:00:01.100000,-0.043982297,0.012217305,-0.22479841
0 days 00:00:01.110000,0.17715092,0.05009095,-0.112399206
0 days 00:00:01.120000,0.21624629,0.08552113,-0.042760566
0 days 00:00:01.130000,0.13316862,0.1001819,-0.06963864
0 days 00:00:01.140000,0.02076942,0.073303826,-0.052534413
0 days 00:00:01.150000,-0.08552113,0.03176499,-0.09407325
0 days 00:00:01.160000,0.04642576,0.017104227,-0.14538592
0 days 00:00:01.170000,0.17959438,0.014660766,-0.12217305
0 days 00:00:01.180000,0.14538592,0.014660766,-0.096516706
0 days 00:00:01.190000,0.13805555,0.035430185,-0.06841691
0 days 00:00:01.200000,0.12217305,0.047647487,-0.04153884
0 days 00:00:01.210000,0.010995574,0.017104227,-0.059864793
0 days 00:00:01.220000,-0.018325957,-0.02321288,-0.09773844
0 days 00:00:01.230000,0.13072516,-0.034208454,-0.06719518
0 days 00:00:01.240000,0.15332717750000002,-0.03023782975,-0.0598647955
0 days 00:00:01.250000,0.175929195,-0.0262672055,-0.052534411
0 days 00:00:01.260000,0.23090707,0.0012217305,-0.015882496
0 days 00:00:01.270000,0.13561209,0.0012217305,-0.018325957
0 days 00:00:01.280000,0.1001819,-0.013439035,-0.042760566
0 days 00:00:01.290000,0.118507855,-0.035430185,-0.065973446
0 days 00:00:01.300000,0.12095132,-0.057421334,-0.103847094
0 days 00:00:01.310000,0.09040806,-0.07452556,-0.10873401
0 days 00:00:01.320000,0.09162979,-0.06719518,-0.096516706
0 days 00:00:01.330000,0.08674286,-0.047647487,-0.13194689
0 days 00:00:01.340000,0.12034045,-0.04550946025,-0.15363261
0 days 00:00:01.350000,0.15393804,-0.0433714335,-0.17531833
0 days 00:00:01.360000,0.111177474,-0.112399206,-0.22235495
0 days 00:00:01.370000,-0.017104227,-0.18448131,-0.29443705
0 days 00:00:01.380000,0.23090707,-0.19303341,-0.21746802
0 days 00:00:01.390000,0.17470746,-0.1966986,-0.2443461
0 days 00:00:01.400000,0.2125811,-0.19547687,-0.27977628
0 days 00:00:01.410000,0.12095132,-0.22724187,-0.30176744
0 days 00:00:01.420000,-0.04642576,-0.31642818,-0.38728857
0 days 00:00:01.430000,-0.25289822,-0.44104472,-0.5375614
0 days 00:00:01.440000,-0.24678956,-0.49357912,-0.6450737
0 days 00:00:01.450000,0.16126843,-0.46181414,-0.6291912
0 days 00:00:01.460000,0.43004912,-0.38362336,-0.5510005
0 days 00:00:01.470000,0.35063666,-0.3323107,-0.5558874
0 days 00:00:01.480000,0.19547687,-0.31642818,-0.6035349
0 days 00:00:01.490000,-0.07452556,-0.37140608,-0.6426302
0 days 00:00:01.500000,-0.4447099,-0.48502702,-0.79779
0 days 00:00:01.510000,-0.453262,-0.52534413,-0.9468411
0 days 00:00:01.520000,0.056199603,-0.45814893,-0.86376345
0 days 00:00:01.530000,0.59498274,-0.3371976,-0.79412484
0 days 00:00:01.540000,0.816116,-0.23335053,-0.79412484
0 days 00:00:01.550000,0.51923543,-0.23701571,-0.79534656
0 days 00:00:01.560000,0.089186326,-0.29077184,-0.88331115
0 days 00:00:01.570000,-0.1563815,-0.31398472,-1.0103711
0 days 00:00:01.580000,0.09773844,-0.26267207,-0.99204516
0 days 00:00:01.590000,0.28099802,-0.19547687,-0.9431759
0 days 00:00:01.600000,0.31764993,-0.14172074,-0.8686504
0 days 00:00:01.610000,0.2443461,-0.15027285,-0.8014552
0 days 00:00:01.620000,0.09162979,-0.21868975,-0.7831292
0 days 00:00:01.630000,0.12339478,-0.22479841,-0.7257079
0 days 00:00:01.640000,0.38606682,-0.13194689,-0.45081854
0 days 00:00:01.650000,0.39095375,-0.17959438,-0.535118
0 days 00:00:01.660000,0.33108896,-0.13927728,-0.49968776
0 days 00:00:01.670000,0.15515977,-0.111177474,-0.21624629
0 days 00:00:01.680000,0.22724187,-0.11484267,-0.12339478
0 days 00:00:01.690000,0.34208453,-0.13194689,-0.24556783
0 days 00:00:01.700000,0.4373795,-0.1685988,-0.30665436
0 days 00:00:01.710000,0.5815437,-0.118507855,-0.29932398
0 days 00:00:01.720000,0.5363397,-0.05375614,-0.3005457
0 days 00:00:01.730000,0.44959682,-0.02687807,-0.2724459
0 days 00:00:01.740000,0.5021312,0.05009095,-0.24801129
0 days 00:00:01.750000,0.376293,0.10629055,-0.2773328
0 days 00:00:01.760000,0.13316862,0.10140363,-0.27122417
0 days 00:00:01.770000,0.007330383,0.12705997,-0.22968534
0 days 00:00:01.780000,-0.013439035,0.13683382,-0.13072516
0 days 00:00:01.790000,0.05497787,0.09896017,-0.040317107
0 days 00:00:01.800000,0.376293,0.07696902,-0.08552113
0 days 00:00:01.810000,0.5546656,0.0842994,-0.22602014
0 days 00:00:01.820000,0.4447099,0.080634214,-0.26633725
0 days 00:00:01.830000,0.21380283,0.11362094,-0.17592919
0 days 00:00:01.840000,0.2125811,0.14538592,-0.089186326
0 days 00:00:01.850000,0.37873647,0.1563815,-0.07696902
0 days 00:00:01.860000,0.44104472,0.1441642,-0.06352998
0 days 00:00:01.870000,0.34330627,0.103847094,-0.042760566
0 days 00:00:01.880000,0.36651915,0.02076942,-0.02565634
0 days 00:00:01.890000,0.37995818,0.062308256,-0.059864793
0 days 00:00:01.900000,0.12950343,0.05497787,-0.010995574
0 days 00:00:01.910000,0.12767083499999998,0.068416905,0.012828169500000002
0 days 00:00:01.920000,0.12583824,0.08185594,0.036651913
0 days 00:00:01.930000,0.25167647,0.057421334,0.16737708
0 days 00:00:01.940000,0.29077184,0.02565634,0.13683382
0 days 00:00:01.950000,0.13194689,0.02565634,0.12217305
0 days 00:00:01.960000,-0.10873401,0.02321288,0.12461651
0 days 00:00:01.970000,-0.33841935,0.056199603,0.111177474
0 days 00:00:01.980000,-0.45204028,0.10140363,0.089186326
0 days 00:00:01.990000,-0.49357912,0.17715092,0.096516706
0 days 00:00:02,-0.54000485,0.18936823,0.1600467
0 days 00:00:02.010000,-0.36041048,0.16371189,0.20769419
0 days 00:00:02.020000,-0.09773844,0.12461651,0.18570304
0 days 00:00:02.030000,0.05497787,0.09285152,0.13072516
0 days 00:00:02.040000,0.080634214,0.0842994,0.119729586
0 days 00:00:02.050000,-0.13439035,0.13439035,0.10995574
0 days 00:00:02.060000,-0.52290064,0.14172074,0.10629055
0 days 00:00:02.070000,-0.6230826,0.14172074,0.12217305
0 days 00:00:02.080000,-0.50946164,0.17348573,0.112399206
0 days 00:00:02.090000,-0.34697145,0.14660765,0.09773844
0 days 00:00:02.100000,-0.037873644,0.11728613,0.118507855
0 days 00:00:02.110000,0.08552113,0.14172074,0.12095132
0 days 00:00:02.120000,-0.06719518,0.14538592,0.12095132
0 days 00:00:02.130000,-0.29443705,0.18692477,0.118507855
0 days 00:00:02.140000,-0.44593164,0.22479841,0.10140363
0 days 00:00:02.150000,-0.5338962,0.24312437,0.07574729
0 days 00:00:02.160000,-0.41905355,0.23823744,0.059864793
0 days 00:00:02.170000,-0.08552113,0.2724459,0.04886922
0 days 00:00:02.180000,-0.009773844,0.29565877,0.05009095
0 days 00:00:02.190000,-0.19792034,0.31520647,0.09162979
0 days 00:00:02.200000,-0.34697145,0.33108896,0.13805555
0 days 00:00:02.210000,-0.42271876,0.3494149,0.15271631
0 days 00:00:02.220000,-0.5045747,0.3323107,0.16126843
0 days 00:00:02.230000,-0.548557,0.31764993,0.17348573
0 days 00:00:02.240000,-0.4886922,0.312763,0.17470746
0 days 00:00:02.250000,-0.24312437,0.32742378,0.17470746
0 days 00:00:02.260000,-0.039095376,0.35063666,0.18325958
0 days 00:00:02.270000,0.009773844,0.36163223,0.21991149
0 days 00:00:02.280000,0.047647487,0.37751472,0.2773328
0 days 00:00:02.290000,0.028099801,0.40439278,0.28221974
0 days 00:00:02.300000,-0.13439035,0.41538838,0.25411993
0 days 00:00:02.310000,-0.38728857,0.40317106,0.24312437
0 days 00:00:02.320000,-0.36774087,0.39095375,0.23823744
0 days 00:00:02.330000,-0.103847094,0.3726278,0.22357668
0 days 00:00:02.340000,0.10995574,0.35185838,0.23090707
0 days 00:00:02.350000,0.33964106,0.33841935,0.26633725
0 days 00:00:02.360000,0.593761,0.3567453,0.25167647
0 days 00:00:02.370000,0.63407815,0.33964106,0.20158553
0 days 00:00:02.380000,0.52778757,0.2968805,0.18692477
0 days 00:00:02.390000,0.43493605,0.27000242,0.18692477
0 days 00:00:02.400000,0.34330627,0.24312437,0.15393804
0 days 00:00:02.410000,0.23457226,0.1685988,0.13927728
0 days 00:00:02.420000,0.22968534,0.11484267,0.14782938
0 days 00:00:02.430000,0.24556783,0.10140363,0.14538592
0 days 00:00:02.440000,0.31398472,0.06719518,0.11484267
0 days 00:00:02.450000,0.3811799,0.030543262,0.073303826
0 days 00:00:02.460000,0.3811799,0.0012217305,0.062308256
0 days 00:00:02.470000,0.31642818,-0.02076942,0.07696902
0 days 00:00:02.480000,0.11728613,-0.05009095,0.07452556
0 days 00:00:02.490000,-0.17959438,-0.0842994,0.05131268
0 days 00:00:02.500000,-0.35613443,-0.12278391000000001,0.0244346094
0 days 00:00:02.510000,-0.5326744800000001,-0.16126842000000002,-0.0024434611999999997
