time,x,y,z
0 days 00:00:00,2.647576701348834,5.932832,-3.6415808
0 days 00:00:00.010000,2.829535701348833,5.9807158,-4.096479
0 days 00:00:00.020000,2.774468701348834,5.9639564,-4.6016555
0 days 00:00:00.030000,2.8941787013488334,5.877765,-4.572925
0 days 00:00:00.040000,2.910938701348833,6.217742,-4.232949
0 days 00:00:00.050000,2.934880701348833,6.3901243,-3.787627
0 days 00:00:00.060000,3.1551467013488335,6.667852,-3.6152446
0 days 00:00:00.070000,3.5454017013488333,6.5936313,-3.3494883
0 days 00:00:00.080000,3.5645557013488336,6.6965823,-3.1483753
0 days 00:00:00.090000,3.4663937013488333,6.375759,-3.6750996
0 days 00:00:00.100000,3.5669497013488343,6.0142345,-4.3263226
0 days 00:00:00.110000,3.732149701348833,5.7748146,-4.7022123
0 days 00:00:00.120000,3.5262482013488334,5.920861,-4.1060557
0 days 00:00:00.130000,3.332317701348833,6.517017,-2.8634653
0 days 00:00:00.140000,3.1910607013488335,6.2512608,-2.492364
0 days 00:00:00.150000,3.078532701348834,5.9280434,-2.8179753
0 days 00:00:00.160000,3.092897701348834,5.17387,-3.1890767
0 days 00:00:00.170000,3.0545907013488343,4.8003745,-2.980781
0 days 00:00:00.180000,2.946851701348834,4.55856,-3.976769
0 days 00:00:00.190000,2.9133327013488337,3.8522706,-4.0462008
0 days 00:00:00.200000,2.901361701348833,4.3861775,-4.10845
0 days 00:00:00.210000,3.016283701348833,4.644751,-2.5617957
0 days 00:00:00.220000,2.7002487013488334,5.391742,-2.5067291
0 days 00:00:00.230000,2.810381701348833,4.4340615,-2.9616275
0 days 00:00:00.240000,2.8343237013488327,4.27365,-3.3159695
0 days 00:00:00.250000,2.8247477013488336,3.9480386,-3.6655228
0 days 00:00:00.260000,2.623634701348834,3.7181952,-4.31914
0 days 00:00:00.270000,2.647576701348834,3.241749,-4.2185836
0 days 00:00:00.280000,2.7409497013488338,4.0294414,-3.4811692
0 days 00:00:00.290000,2.393790701348834,4.8745947,-1.5825673
0 days 00:00:00.300000,2.1783127013488333,4.7620673,-2.372654
0 days 00:00:00.310000,2.1974657013488326,3.5577838,-3.478775
0 days 00:00:00.320000,2.0633907013488333,2.9951463,-3.2154129
0 days 00:00:00.330000,1.7545387013488334,2.932897,-4.853047
0 days 00:00:00.340000,2.0633907013488333,1.685518,-4.0821137
0 days 00:00:00.350000,1.1775367013488331,4.9224787,0.29688102
0 days 00:00:00.360000,0.8327717013488343,4.9464207,-1.1851299
0 days 00:00:00.370000,0.9022027013488341,2.6120741,-0.90500826
0 days 00:00:00.380000,0.26773970134883385,1.8483237,-1.6639702
0 days 00:00:00.390000,-0.2613792986511658,1.8555063,-2.2146366
0 days 00:00:00.400000,-0.8623232986511669,2.4995465,-3.5122938
0 days 00:00:00.410000,-0.7186712986511665,1.982399,-5.5880666
0 days 00:00:00.420000,-0.39305999865116625,1.5131354,-2.2385786
0 days 00:00:00.430000,-0.8790828986511663,2.8514943,0.8355764
0 days 00:00:00.440000,-1.2382127986511664,1.9847932,0.9696517
0 days 00:00:00.450000,-1.6907169986511663,1.9201498,-1.2186487
0 days 00:00:00.460000,-2.2222296986511667,1.5801731,0.17717093
0 days 00:00:00.470000,-2.468832698651167,1.2066777,0.062249243
0 days 00:00:00.480000,-2.406583498651167,1.7836803,-3.4835634
0 days 00:00:00.490000,-1.1496272986511666,2.4971523,-4.84347
0 days 00:00:00.500000,-1.784091298651167,0.49081135,-1.5346833
0 days 00:00:00.510000,-2.7776848986511666,1.0414777,-1.2521675
0 days 00:00:00.520000,-2.6843106986511662,0.9792285,-0.7230489
0 days 00:00:00.530000,-2.2605372986511663,1.0845734,-0.2777274
0 days 00:00:00.540000,-2.100125498651167,1.127669,1.4030021
0 days 00:00:00.550000,-3.1918812986511664,1.1923125,0.045489833
0 days 00:00:00.560000,-2.559812298651167,2.3535004,-0.46686932
0 days 00:00:00.570000,-2.2988445986511667,1.5634137,-2.0374656
0 days 00:00:00.580000,-1.0011872986511667,2.018312,-2.1499932
0 days 00:00:00.590000,-1.2932798986511669,0.12210429,-1.8483237
0 days 00:00:00.600000,-1.5135462986511667,1.1947067,-1.7884687
0 days 00:00:00.610000,-1.7242357986511667,0.5626374,-0.2825158
0 days 00:00:00.620000,-1.5757952986511663,1.5298948,0.23702596
0 days 00:00:00.630000,-1.738600998651167,0.6823475,0.7158663
0 days 00:00:00.640000,-1.6093142986511664,2.3918076,-1.2904748
0 days 00:00:00.650000,-1.2262417986511664,1.5442601,-0.14604631
0 days 00:00:00.660000,-1.7266299986511662,-0.5554548,-0.47644615
0 days 00:00:00.670000,-1.750572298651167,0.047884032,-2.3247697
0 days 00:00:00.680000,-2.195893298651167,0.49320555,-2.4612393
0 days 00:00:00.690000,-2.2006818986511663,2.147599,-1.3814543
0 days 00:00:00.700000,-2.2102586986511668,1.2306197,0.1604115
0 days 00:00:00.710000,-1.7769085986511666,1.0893618,-0.5770026
0 days 00:00:00.720000,-1.9684445986511667,1.6112977,-0.7565677
0 days 00:00:00.730000,-1.7625432986511669,0.9624691,-1.3120226
0 days 00:00:00.740000,-0.723459298651167,0.51235914,-1.0726024
0 days 00:00:00.750000,-0.1823702986511666,0.45968673,-0.878672
