time,x,y,z
0 days 00:00:00,0.065973445,0.1090394485,0.0400116705
0 days 00:00:00.010000,0.21502457,0.11423180299999999,0.016493360999999998
0 days 00:00:00.020000,0.12461651,0.13927728,-0.062308256
0 days 00:00:00.030000,-0.29810223,0.172264,-0.08552113
0 days 00:00:00.040000,-0.28221974,0.18325958,-0.1282817
0 days 00:00:00.050000,-0.16126843,0.1881465,-0.12339478
0 days 00:00:00.060000,0.040317107,0.19547687,-0.09407325
0 days 00:00:00.070000,0.12217305,0.20769419,-0.10751228
0 days 00:00:00.080000,0.04802928050000001,0.200134730625,-0.134237635625
0 days 00:00:00.090000,-0.02611448899999999,0.19257527125,-0.16096299125
0 days 00:00:00.100000,-0.10025825849999997,0.185015811875,-0.187688346875
0 days 00:00:00.110000,-0.174402028,0.1774563525,-0.2144137025
0 days 00:00:00.120000,-0.047647487,0.12583824,-0.32986724
0 days 00:00:00.130000,0.24678956,0.12095132,-0.32253686
0 days 00:00:00.140000,0.46181414,0.09773844,-0.3115413
0 days 00:00:00.150000,0.65118235,0.09040806,-0.3213151
0 days 00:00:00.160000,0.6719518,0.103847094,-0.31520647
0 days 00:00:00.170000,0.4251622,0.09040806,-0.32375857
0 days 00:00:00.180000,0.19058995,0.06963864,-0.3811799
0 days 00:00:00.190000,0.035430185,0.062308256,-0.4166101
0 days 00:00:00.200000,0.022907447250000004,0.063835419,-0.4031710675
0 days 00:00:00.210000,0.010384709500000002,0.065362582,-0.389732035
0 days 00:00:00.220000,0.096516706,0.064751714,-0.35918877
0 days 00:00:00.230000,-0.010995574,0.09162979,-0.3481932
0 days 00:00:00.240000,-0.43860126,0.09773844,-0.35918877
0 days 00:00:00.250000,-0.8405506,0.103847094,-0.39706242
0 days 00:00:00.260000,-1.1081096,0.1563815,-0.4129449
0 days 00:00:00.270000,-1.3206906,0.1966986,-0.37995818
0 days 00:00:00.280000,-1.1911873,0.24556783,-0.3371976
0 days 00:00:00.290000,-0.75502944,0.30787608,-0.30543262
0 days 00:00:00.300000,-0.32375857,0.344528,-0.25411993
0 days 00:00:00.310000,-0.23701571,0.37751472,-0.19914207
0 days 00:00:00.320000,-0.43860126,0.3885103,-0.18692477
0 days 00:00:00.330000,-0.7134906,0.3933972,-0.1966986
0 days 00:00:00.340000,-0.77213365,0.39828414,-0.1685988
0 days 00:00:00.350000,-0.70249504,0.40683624,-0.13683382
0 days 00:00:00.360000,-0.43004912,0.39828414,-0.09040806
0 days 00:00:00.370000,-0.029321533,0.44348818,-0.007330383
0 days 00:00:00.380000,0.13133602349999998,0.4636467325,0.049785517499999994
0 days 00:00:00.390000,0.29199358,0.483805285,0.106901418
0 days 00:00:00.400000,0.36896262,0.51923543,0.19303341
0 days 00:00:00.410000,0.062308256,0.5656612,0.16493362
0 days 00:00:00.420000,-0.15027285,0.4728097,0.13072516
0 days 00:00:00.430000,-0.018325957,0.47647488,0.1881465
0 days 00:00:00.440000,0.3921755,0.48747048,0.3115413
0 days 00:00:00.450000,0.766025,0.47769663,0.548557
0 days 00:00:00.460000,0.6243043,0.5534439,0.9101892
0 days 00:00:00.470000,0.3909537665,0.60261855,0.864985175
0 days 00:00:00.480000,0.157603233,0.6517932,0.8197811500000001
0 days 00:00:00.490000,0.0809396465,0.6197227775,0.8481863875
0 days 00:00:00.500000,0.004276059999999998,0.587652355,0.876591625
0 days 00:00:00.510000,-0.19547687,0.5681047,1.0458013
0 days 00:00:00.520000,-0.13072516,0.49602258,1.0775663
0 days 00:00:00.530000,0.09773844,0.56321776,1.1936307
0 days 00:00:00.540000,0.17715092,0.73548174,1.3096951
0 days 00:00:00.550000,0.16982053,0.7476991,1.2278391
0 days 00:00:00.560000,0.23701571,0.7086037,1.1117748
0 days 00:00:00.570000,-0.12461651,0.6230826,1.2302825
0 days 00:00:00.580000,-0.31642818,0.56199604,1.3096951
0 days 00:00:00.590000,-0.19547687,0.5742133,1.2767084
0 days 00:00:00.600000,-0.029321533,0.6377433,1.2596041
0 days 00:00:00.610000,0.10140363,0.64873886,1.2718215
0 days 00:00:00.620000,0.3213151,0.6560693,1.2669345
0 days 00:00:00.630000,0.280998005,0.620944525,1.272432275
0 days 00:00:00.640000,0.24068091,0.58581975,1.27793005
0 days 00:00:00.650000,0.09800993777777778,0.5351179444444445,1.2137213511111111
0 days 00:00:00.660000,-0.04466103444444444,0.4844161388888889,1.149512652222222
0 days 00:00:00.670000,-0.1873320066666667,0.43371433333333337,1.0853039533333333
0 days 00:00:00.680000,-0.2406809,0.3408628,0.9456194
0 days 00:00:00.690000,-0.18570304,0.34208453,0.8527679
0 days 00:00:00.700000,-0.052534413,0.35430184,0.7623598
0 days 00:00:00.710000,0.26633725,0.34330627,0.6389651
0 days 00:00:00.720000,0.34330627,0.30298916,0.52412236
0 days 00:00:00.730000,0.24556783,0.2883284,0.44959682
0 days 00:00:00.740000,-0.081855945,0.21991149,0.33108896
0 days 00:00:00.750000,-0.09285152,0.15149458,0.13683382
0 days 00:00:00.760000,0.14905111,0.10995574,-0.015882496
0 days 00:00:00.770000,0.227852735,0.102014495,-0.088575463
0 days 00:00:00.780000,0.30665436,0.09407325,-0.16126843
0 days 00:00:00.790000,0.33536502,0.06780604,-0.24801128499999997
0 days 00:00:00.800000,0.22235495,0.06719518,-0.42760566
0 days 00:00:00.810000,0.3213151,0.08307768,-0.45814893
0 days 00:00:00.820000,0.29443705,0.08674286,-0.4801401
0 days 00:00:00.830000,0.23945917,0.112399206,-0.46914452
0 days 00:00:00.840000,0.25167647,0.11362094,-0.36774087
0 days 00:00:00.850000,0.164322745,0.08765916625,-0.26847527250000003
0 days 00:00:00.860000,0.07696902,0.0616973925,-0.169209675
0 days 00:00:00.870000,0.054672438749999996,0.05192354725,-0.10720685125
0 days 00:00:00.880000,0.0323758575,0.042149702,-0.0452040275
0 days 00:00:00.890000,0.010995574,0.028099801,-0.052534413
0 days 00:00:00.900000,-0.040317107,0.02321288,-0.064751714
0 days 00:00:00.910000,0.008552114,0.04886922,-0.05375614
0 days 00:00:00.920000,0.02565634,0.07819075,0.02443461
0 days 00:00:00.930000,0.002443461,0.11484267,0.018325957
