time,x,y,z
0 days 00:00:00,3.8543668511077396,3.4715924,-1.7238252
0 days 00:00:00.010000,4.132093851107738,3.5218706,-2.0254946
0 days 00:00:00.020000,4.388273851107739,3.514688,-2.2840683
0 days 00:00:00.030000,4.7450098511077385,4.134786,-0.9600749
0 days 00:00:00.040000,4.950911851107739,3.821146,-1.2042835
0 days 00:00:00.050000,4.637270851107738,3.2106245,-1.70946
0 days 00:00:00.060000,4.428975851107738,3.4021606,-1.958457
0 days 00:00:00.070000,4.275746851107739,3.2369606,-2.2697031
0 days 00:00:00.080000,4.534320851107738,3.5745432,-1.6304513
0 days 00:00:00.090000,4.443340851107738,3.9097314,-1.8483237
0 days 00:00:00.100000,4.227862851107739,3.6607344,-2.018312
0 days 00:00:00.110000,4.079421851107739,3.8402996,-1.697489
0 days 00:00:00.120000,3.7490223511077385,3.952827,-1.9033904
0 days 00:00:00.130000,3.473688851107738,3.9815574,-1.6998832
0 days 00:00:00.140000,3.4305933511077384,3.5314474,-3.0813377
0 days 00:00:00.150000,3.665224851107739,4.201824,-2.2266076
0 days 00:00:00.160000,3.4234108511077395,4.4316673,-1.6807296
0 days 00:00:00.170000,3.097798851107738,4.060566,-1.8267759
0 days 00:00:00.180000,2.9948488511077382,4.0581717,-2.066196
0 days 00:00:00.190000,2.621352851107739,4.1802764,-1.8459295
0 days 00:00:00.200000,2.549526851107739,3.5984852,-1.721431
0 days 00:00:00.210000,2.4322118511077395,3.9911342,-1.3263878
0 days 00:00:00.220000,2.4537588511077395,3.3423057,-1.3455414
0 days 00:00:00.230000,2.348413851107738,3.3806129,-1.4556746
0 days 00:00:00.240000,2.149694851107739,2.7222073,-1.6280571
0 days 00:00:00.250000,1.5176268511077389,2.80361,-2.2218192
0 days 00:00:00.260000,1.5774808511077385,2.7964275,-2.731784
0 days 00:00:00.270000,1.5966348511077388,3.4596214,-0.557849
0 days 00:00:00.280000,1.6780378511077387,3.5314474,-0.4165911
0 days 00:00:00.290000,1.7426813511077395,3.2824504,-0.8571242
0 days 00:00:00.300000,1.2638418511077383,3.3303347,-1.3934253
0 days 00:00:00.310000,1.002872851107739,2.8491,-1.7669208
0 days 00:00:00.320000,1.0076618511077395,2.873042,-1.4293385
0 days 00:00:00.330000,0.8897471011077389,2.744353675,-1.489792075
0 days 00:00:00.340000,0.7718323511077383,2.61566535,-1.5502456500000001
0 days 00:00:00.350000,0.17447935110773827,3.086126,-0.6895301
0 days 00:00:00.360000,0.01885585110773924,2.3080103,-1.364695
0 days 00:00:00.370000,-0.15831514889226206,1.8842367,-0.8403648
0 days 00:00:00.380000,-0.5820886488922614,2.2864625,-1.4101849
0 days 00:00:00.390000,-0.7233461488922615,1.4987702,-1.6256629
0 days 00:00:00.400000,-0.7448941488922616,1.9752164,-2.2026656
0 days 00:00:00.410000,-0.5557524488922612,1.5059528,-2.4851813
0 days 00:00:00.420000,-0.6060306488922613,2.1523874,-1.8531121
0 days 00:00:00.430000,-0.3510478988922596,2.6234465250000003,-1.655590475
0 days 00:00:00.440000,-0.0960651488922597,3.0945056500000003,-1.45806885
0 days 00:00:00.450000,-0.31393814889226057,3.9001546,-1.3790601
0 days 00:00:00.460000,-0.06494014889226207,3.6224272,-0.6344634
0 days 00:00:00.470000,-0.7832011488922612,4.3023806,-1.0534488
0 days 00:00:00.480000,-0.21098714889226144,3.2728736,-2.1045034
0 days 00:00:00.490000,-0.273236148892261,2.6791117,-2.1092918
0 days 00:00:00.500000,-0.37379314889226123,3.3159695,-2.087744
0 days 00:00:00.510000,-0.9938911488922608,3.4524388,-1.2976574
0 days 00:00:00.520000,-0.7209521488922617,3.4739866,-1.2952632
0 days 00:00:00.530000,-0.9962852988922615,3.20942735,-0.795473559575
0 days 00:00:00.540000,-1.2716184488922613,2.9448681,-0.29568391915
0 days 00:00:00.550000,-1.036987148892261,0.59376204,-1.946486
0 days 00:00:00.560000,-0.15592014889226036,-0.031124622,-3.4452562
0 days 00:00:00.570000,0.030827851107739335,3.9360676,-2.0566192
0 days 00:00:00.580000,-0.20380414889226195,4.3861775,-0.05267244
0 days 00:00:00.590000,-0.21338114889226212,2.6551697,-1.0486604
0 days 00:00:00.600000,-0.1726801488922618,2.4660277,-0.770933
0 days 00:00:00.610000,-0.2540831488922617,2.2744915,-1.3455414
0 days 00:00:00.620000,0.10744185110773863,2.1787236,-0.6679823
0 days 00:00:00.630000,-0.09905827389226118,2.288258325,-0.8050503250000001
0 days 00:00:00.640000,-0.305558398892261,2.3977930499999998,-0.94211835
0 days 00:00:00.650000,0.20081485110773833,4.4364557,-2.4516625
0 days 00:00:00.660000,0.10145585110773858,3.42849685,-1.49517895
0 days 00:00:00.670000,0.0020968511077388285,2.420538,-0.5386954
0 days 00:00:00.680000,-0.42886014889226054,2.0685902,-1.2569559
0 days 00:00:00.690000,-0.08170014889226174,1.1444284,-0.39504328
0 days 00:00:00.700000,-0.4025231488922607,1.1587936,-0.30885202
0 days 00:00:00.710000,-0.7951721488922612,3.2968156,-0.51714754
0 days 00:00:00.720000,-1.1327551488922616,2.0135236,-0.5770026
0 days 00:00:00.730000,-0.7784131488922617,3.7445314,-1.7980455
0 days 00:00:00.740000,-0.5725118488922609,1.934515,-1.1061212
0 days 00:00:00.750000,-1.2811951488922615,0.5554548,-2.087744
0 days 00:00:00.760000,-0.6970101488922609,2.834735,-1.8650831
0 days 00:00:00.770000,-1.3697806488922613,-0.30406362,0.7398083
0 days 00:00:00.780000,-1.5230101488922614,1.9680338,0.0023942017
