time,x,y,z
0 days 00:00:00,0.018325957,0.09896017,0.13683382
0 days 00:00:00.010000,0.15027285,0.028099801,0.081855945
0 days 00:00:00.020000,0.25289821,-0.022907447000000004,0.0452040296
0 days 00:00:00.030000,0.35552357,-0.073914695,0.0085521142
0 days 00:00:00.040000,0.40561453,-0.13194689,-0.030543262
0 days 00:00:00.050000,0.43371433,-0.14660765,-0.09162979
0 days 00:00:00.060000,0.48991394,-0.14660765,-0.15149458
0 days 00:00:00.070000,0.5045747,-0.15515977,-0.17348573
0 days 00:00:00.080000,0.49235737,-0.15760323,-0.1881465
0 days 00:00:00.090000,0.37995818,-0.19547687,-0.22479841
0 days 00:00:00.100000,0.35308012,-0.23945917,-0.29443705
0 days 00:00:00.110000,0.31642818,-0.2761111,-0.33964106
0 days 00:00:00.120000,0.340251935,-0.30451632500000003,-0.38759399250000004
0 days 00:00:00.130000,0.36407569,-0.33292155,-0.43554692500000003
0 days 00:00:00.140000,0.4288274,-0.344528,-0.5045747
0 days 00:00:00.150000,0.5601634275,-0.35674530000000004,-0.53328535
0 days 00:00:00.160000,0.691499455,-0.36896260000000003,-0.5619959999999999
0 days 00:00:00.170000,0.77824235,-0.3885103,-0.5338962
0 days 00:00:00.180000,0.56077427,-0.40317106,-0.56077427
0 days 00:00:00.190000,0.376293,-0.42394048,-0.62796944
0 days 00:00:00.200000,0.33475417,-0.43127087,-0.657291
0 days 00:00:00.210000,0.44226643,-0.42271876,-0.64751714
0 days 00:00:00.220000,0.35308012,-0.40561453,-0.61819565
0 days 00:00:00.230000,0.221133223,-0.394618945,-0.593761025
0 days 00:00:00.240000,0.089186326,-0.38362336,-0.5693264
0 days 00:00:00.250000,-0.1710422675,-0.3200934,-0.535117955
0 days 00:00:00.260000,-0.5656612,-0.23823744,-0.5155703
0 days 00:00:00.270000,-0.9969321,-0.23457226,-0.5412266
0 days 00:00:00.280000,-1.1508701,-0.21624629,-0.5888741
0 days 00:00:00.290000,-1.1765264,-0.16982053,-0.593761
0 days 00:00:00.300000,-1.1606439,-0.14660765,-0.53878313
0 days 00:00:00.310000,-0.9651671,-0.08674286,-0.46914452
0 days 00:00:00.320000,-0.7880161699999999,-0.05375614,-0.43921211000000004
0 days 00:00:00.330000,-0.61086524,-0.02076942,-0.4092797
0 days 00:00:00.340000,-0.1600467,0.04520403,-0.34391713
0 days 00:00:00.350000,-0.08552113,0.028099801,-0.34330627
0 days 00:00:00.360000,0.03176499,0.02687807,-0.32375857
0 days 00:00:00.370000,0.17104226,0.047647487,-0.26145032
0 days 00:00:00.380000,0.3921755,0.08674286,-0.1881465
0 days 00:00:00.390000,0.54244834,0.09285152,-0.12583824
0 days 00:00:00.400000,0.9077458,0.09407325,-0.059864793
0 days 00:00:00.410000,1.3646729,0.13805555,-0.0012217305
0 days 00:00:00.420000,1.4782939,0.16371189,0.05375614
0 days 00:00:00.430000,1.0415252499999998,0.1988366425,0.063224554
0 days 00:00:00.440000,0.6047566,0.23396139500000002,0.072692968
0 days 00:00:00.450000,0.26114489525,0.2632829225,0.07422012924999999
0 days 00:00:00.460000,-0.0824668095,0.29260445,0.0757472905
0 days 00:00:00.470000,-0.07086037,0.31642818,0.17470746
0 days 00:00:00.480000,0.1282816975,0.337503045,0.18051068
0 days 00:00:00.490000,0.32742376500000003,0.35857791,0.1863139
0 days 00:00:00.500000,0.21746802,0.4605924,0.22479841
0 days 00:00:00.510000,-0.3848451,0.44715336,0.21868975
0 days 00:00:00.520000,-0.52106805,0.46120326,0.21013764000000001
0 days 00:00:00.530000,-0.657291,0.47525316,0.20158553
0 days 00:00:00.540000,-0.6914995,0.53878313,0.2321288
0 days 00:00:00.550000,-0.6462954,0.5522222,0.32620203
0 days 00:00:00.560000,-0.011606437499999997,0.54672442,0.824668075
0 days 00:00:00.570000,0.030543262,0.5204572,0.65240407
0 days 00:00:00.580000,0.147829396,0.5461135500000001,0.598037065
0 days 00:00:00.590000,0.26511553,0.5717699,0.54367006
0 days 00:00:00.600000,0.283441465,0.592539265,0.766025
0 days 00:00:00.610000,0.16676620749999999,0.5821545825000001,0.78312925
0 days 00:00:00.620000,0.05009095,0.5717699,0.8002335
0 days 00:00:00.630000,0.06352998,0.5729916,0.8698721
0 days 00:00:00.640000,-0.0384845085,0.52839846,0.853378745
0 days 00:00:00.650000,-0.013133601750000001,0.51098879,0.8213083225
0 days 00:00:00.660000,0.012217305,0.49357912,0.7892379
0 days 00:00:00.670000,0.19792034,0.53878313,0.82833326
0 days 00:00:00.680000,0.38606682,0.56688297,0.8723156
0 days 00:00:00.690000,0.15027285,0.5143485,0.87598073
0 days 00:00:00.700000,0.04520403,0.50823987,0.874759
0 days 00:00:00.710000,0.14538592,0.5558874,0.9407325
